routenum,eta,distance,route,time
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:30:41 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:30:52 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:30:52 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:00 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:00 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:13 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:13 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:22 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:22 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:36 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:36 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:43 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:43 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:50 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:50 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:31:59 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:31:59 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:06 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:06 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:14 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:14 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:22 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:22 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:31 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:31 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:38 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:38 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:47 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:32:47 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:32:59 2018"
