routenum,eta,distance,route,time
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:20:48 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:21:00 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:21:00 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:21:13 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:21:13 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:21:27 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:21:27 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:21:39 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:21:39 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:21:52 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:21:52 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:22:04 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:22:04 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:22:18 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:22:18 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:22:33 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:22:33 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:22:45 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:22:45 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:22:57 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:22:57 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:23:11 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:23:11 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:23:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:23:23 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:23:35 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:23:35 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:23:48 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:23:48 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:24:00 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:24:00 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:24:14 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:24:14 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:24:27 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:24:27 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:24:39 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:24:39 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:24:51 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:24:51 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:25:04 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:25:04 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:25:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:25:16 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:25:30 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:25:30 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:25:43 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:25:43 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:25:55 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:25:55 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:26:07 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:26:07 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:26:21 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:26:21 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:26:33 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:26:33 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:26:45 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:26:45 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:26:58 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:26:58 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:27:10 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:27:10 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:27:25 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:27:25 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:27:38 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:27:38 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:27:51 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:27:51 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:28:04 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:28:04 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:28:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:28:16 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:28:28 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:28:28 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:28:40 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:28:40 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:28:52 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:28:52 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:29:04 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:29:04 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:29:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:29:16 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:29:29 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:29:29 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:29:41 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:29:41 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:29:54 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:29:54 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:30:07 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:30:07 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:30:19 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:30:19 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:30:32 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:30:32 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:30:45 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:30:45 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:30:59 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:30:59 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:31:12 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:31:12 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:31:25 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:31:25 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:31:39 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:31:39 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:31:51 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:31:51 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:32:03 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:32:03 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:32:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:32:16 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:32:29 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:32:29 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:32:41 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:32:41 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:32:54 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:32:54 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:33:07 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:33:07 2018"
1,"33 min","33.3 miles","I-95 N","Wed Sep 26 13:33:19 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:33:19 2018"
