routenum,eta,distance,route,time
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:28 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:35 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:35 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:42 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:42 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:49 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:49 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:10:56 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:10:56 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:02 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:02 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:09 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:09 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:16 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:16 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:23 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:23 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:30 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:30 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:37 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:37 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:44 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:44 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:50 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:50 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:11:58 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:11:58 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:05 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:05 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:12 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:12 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:18 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:18 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:25 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:25 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:32 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:32 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:39 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:39 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:48 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:48 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:12:55 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:12:55 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:01 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:01 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:10 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:10 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:16 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:16 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:23 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:23 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:30 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:30 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:37 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:37 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:45 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:45 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:52 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:52 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:13:59 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:13:59 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:07 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:07 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:14 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:14 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:22 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:22 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:29 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:29 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:36 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:36 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:42 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:42 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:14:49 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:49 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:14:55 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:14:55 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:02 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:02 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:09 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:09 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:15:15 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:15 2018"
