Route Number,ETA,Distance,Route,Time
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:04 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:04 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:11 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:11 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:17 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:17 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:24 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:24 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:31 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:31 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:37 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:37 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:44 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:44 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:50 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:50 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:14:57 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:14:57 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:03 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:03 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:10 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:10 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:16 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:16 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:24 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:24 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:30 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:30 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:37 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:37 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:44 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:44 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:50 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:50 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:15:57 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:15:57 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:03 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:03 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:10 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:10 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:31 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:31 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:39 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:39 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:45 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:45 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:16:59 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:16:59 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:05 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:31 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:31 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:38 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:38 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:45 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:45 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:17:58 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:17:58 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:05 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:26 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:26 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:33 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:33 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:39 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:39 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:46 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:46 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:18:59 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:18:59 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:06 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:06 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:19 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:19 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:32 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:32 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:39 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:39 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:45 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:45 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:19:58 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:19:58 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:05 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:32 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:32 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:38 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:38 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:46 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:46 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:20:59 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:20:59 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:05 2018
