Route Number,ETA,Distance,Route,Time
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:42:24 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:42:24 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:42:41 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:42:41 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:42:41 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:42:59 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:42:59 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:42:59 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:43:17 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:43:17 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:43:17 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:43:42 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:43:42 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:43:42 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:44:04 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:44:04 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:44:04 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:44:23 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:44:23 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:44:23 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:44:40 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:44:40 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:44:40 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:45:05 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:45:05 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:45:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:45:23 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:45:23 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:45:23 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:45:47 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:45:47 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:45:47 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:46:05 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:46:05 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:46:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:46:28 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:46:28 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:46:28 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:46:45 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:46:45 2018
