Route Number,ETA,Distance,Route,Time
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:00 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:00 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:07 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:07 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:16 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:16 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:30 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:30 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:36 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:36 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:43 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:43 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:51 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:51 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:30:59 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:30:59 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:05 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:05 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:15 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:15 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:29 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:29 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:37 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:37 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:43 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:43 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:31:51 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:31:51 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:00 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:00 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:07 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:07 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:15 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:15 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:29 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:29 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:37 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:37 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:45 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:45 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:52 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:52 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:32:59 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:32:59 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:06 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:06 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:12 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:12 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:26 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:26 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:34 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:34 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:44 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:44 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:51 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:51 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:33:58 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:33:58 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:05 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:05 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:11 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:11 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:26 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:26 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:40 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:40 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:48 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:48 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:34:54 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:34:54 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:01 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:01 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:08 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:08 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:15 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:15 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:27 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:27 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:33 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:33 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:41 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:41 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:49 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:49 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:35:56 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:35:56 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:02 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:02 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:09 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:09 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:16 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:16 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:30 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:30 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:37 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:37 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:45 2018
