routenum,eta,distance,route,time
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:03:49 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:03:49 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:04:29 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:04:29 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:04:29 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:05:09 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:05:09 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:05:09 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:05:48 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:05:48 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:05:48 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:06:29 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:06:29 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:06:29 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:07:08 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:07:08 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:07:08 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:07:44 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:07:44 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:07:44 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:08:22 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:08:22 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:08:22 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:08:58 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:08:58 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:08:58 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:09:27 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:09:27 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:09:27 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:10:00 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:10:00 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:10:00 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:10:39 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:10:39 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:10:39 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:11:18 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:11:18 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:11:18 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:11:58 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:11:58 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:11:58 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:12:29 2018
2,31 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 01:12:29 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 01:12:29 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 01:13:05 2018
