routenum,eta,distance,route,time
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:55:06 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:55:18 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:55:18 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:55:31 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:55:31 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:55:43 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:55:43 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:55:55 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:55:55 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:56:07 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:56:07 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:56:19 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:56:19 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:56:32 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:56:32 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:56:45 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:56:45 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:56:59 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:56:59 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:57:12 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:57:12 2018"
